domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on
frostybet.com,frostybet,2,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,frostybet.com frostybet14.com frostybet18.com,not contacted,
upspinz.com,upspinz,2,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,upspinz.com upspinz25.com upspinz99.com,not contacted,
astrozino.com,astrozino,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,astrozino.com astrozino14.com,not contacted,
betsbunny.io,betsbunny,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,betsbunny.io betsbunny14.io,not contacted,
britaniaslots.io,britaniaslots,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,britaniaslots.io britaniaslots24.io,not contacted,
cipherwins.com,cipherwins,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,cipherwins.com cipherwins14.com,not contacted,
hotloot33.io,hotloot,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,hotloot33.io hotloot77.io,not contacted,
kingsarmscasino.com,kingsarmscasino,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,kingsarmscasino.com kingsarmscasino14.com,not contacted,
luckywands.io,luckywands,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,luckywands.io luckywands24.io,not contacted,
luxewin.bet,luxewin,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,luxewin.bet luxewin22.bet,not contacted,
moanacasino.com,moanacasino,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,moanacasino.com moanacasino16.com,not contacted,
ohmyzino.com,ohmyzino,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,ohmyzino.com ohmyzino25.com,not contacted,
oldbellcasino.com,oldbellcasino,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,oldbellcasino.com oldbellcasino14.com,not contacted,
orionsbet.io,orionsbet,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,orionsbet.io orionsbet15.io,not contacted,
royalcoala.com,royalcoala,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,royalcoala.com royalcoala18.com,not contacted,
sagaspins.com,sagaspins,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,sagaspins.com sagaspins22.com,not contacted,
spinbookie.io,spinbookie,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,spinbookie.io spinbookie.com,not contacted,
21bets.com,bets,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,21bets.com,not contacted,
4kasino.com,kasino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,4kasino.com,not contacted,
divasluckcasino.com,divasluckcasino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,divasluckcasino.com,not contacted,
frenzino.com,frenzino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,frenzino.com,not contacted,
jupicasino.com,jupicasino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,jupicasino.com,not contacted,
lucyscasino.com,lucyscasino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,lucyscasino.com,not contacted,
maxcasino25.io,maxcasino,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,maxcasino25.io,not contacted,
roibets88.com,roibets,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,roibets88.com,not contacted,
supacasi.com,supacasi,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,supacasi.com,not contacted,
tiktakbet.io,tiktakbet,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,tiktakbet.io,not contacted,
24slots.com,slots,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,24slots.com,not contacted,
betindi.com,betindi,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,betindi.com,not contacted,
bookofcasino.net,bookofcasino,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,bookofcasino.net,not contacted,
casinofarouk.com,casinofarouk,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,casinofarouk.com,not contacted,
dolfwin.com,dolfwin,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,dolfwin.com,not contacted,
dream.bet,dream,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,dream.bet,not contacted,
festivalplay.com,festivalplay,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,festivalplay.com,not contacted,
gomblingo.com,gomblingo,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,gomblingo.com,not contacted,
kavon.org,kavon,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,kavon.org,not contacted,
luckykoala.com,luckykoala,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,luckykoala.com,not contacted,
olympusbet.com,olympusbet,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,olympusbet.com,not contacted,
palmslots.com,palmslots,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,palmslots.com,not contacted,
pribet.com,pribet,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,pribet.com,not contacted,
purebets.com,purebets,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,purebets.com,not contacted,
silverplay.com,silverplay,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,silverplay.com,not contacted,
slotamba.com,slotamba,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,slotamba.com,not contacted,
spinplatinum.com,spinplatinum,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,spinplatinum.com,not contacted,
sportcenterbetting.com,sportcenterbetting,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,sportcenterbetting.com,not contacted,
sportospin.com,sportospin,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,sportospin.com,not contacted,
vegasdukes.com,vegasdukes,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,vegasdukes.com,not contacted,
wikiluck.com,wikiluck,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,wikiluck.com,not contacted,
winmega.com,winmega,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,winmega.com,not contacted,
winscore.com,winscore,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,winscore.com,not contacted,
yoyospins.com,yoyospins,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,yoyospins.com,not contacted,
zentio.online,zentio,0,New Era B.V.,OGL/2024/181/0181,Curacao,active,"March 7, 2026",no,zentio.online,not contacted,
afkspin.com,afkspin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,afkspin.com,not contacted,
baxterbet.com,baxterbet,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,baxterbet.com,not contacted,
boomsino.com,boomsino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,boomsino.com,not contacted,
boomzino.com,boomzino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,boomzino.com,not contacted,
casinobossy.com,casinobossy,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,casinobossy.com,not contacted,
fortuzino.com,fortuzino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,fortuzino.com,not contacted,
glitzbets.com,glitzbets,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,glitzbets.com,not contacted,
ivybet.io,ivybet,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,ivybet.io,not contacted,
lootzino.com,lootzino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,lootzino.com,not contacted,
luckycapone.com,luckycapone,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,luckycapone.com,not contacted,
luckysheriff.com,luckysheriff,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,luckysheriff.com,not contacted,
magneticslots.com,magneticslots,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,magneticslots.com,not contacted,
manekispin.com,manekispin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,manekispin.com,not contacted,
needforslots.com,needforslots,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,needforslots.com,not contacted,
ringospin.com,ringospin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,ringospin.com,not contacted,
rodeoslot.com,rodeoslot,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,rodeoslot.com,not contacted,
royalstiger.com,royalstiger,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,royalstiger.com,not contacted,
slotrize.com,slotrize,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,slotrize.com,not contacted,
slotsdj.com,slotsdj,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,slotsdj.com,not contacted,
spinania.com,spinania,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,spinania.com,not contacted,
spinsahara.com,spinsahara,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,spinsahara.com,not contacted,
tesorcasino.com,tesorcasino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,tesorcasino.com,not contacted,
tonyspins.com,tonyspins,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,tonyspins.com,not contacted,
winbeatz.com,winbeatz,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,winbeatz.com,not contacted,
azurslot.com,azurslot,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,azurslot.com,not contacted,
glitchspin.com,glitchspin,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,glitchspin.com,not contacted,
godofwins.com,godofwins,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,godofwins.com,not contacted,
hugocasino.com,hugocasino,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,hugocasino.com,not contacted,
ludios.io,ludios,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,ludios.io,not contacted,
minocasino.com,minocasino,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,minocasino.com,not contacted,
needforspin.com,needforspin,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,needforspin.com,not contacted,
onlywin.com,onlywin,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,onlywin.com,not contacted,
ritzo.com,ritzo,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,ritzo.com,not contacted,
rockycasino.com,rockycasino,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,rockycasino.com,not contacted,
rollingslots.com,rollingslots,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,rollingslots.com,not contacted,
rollingslotti.com,rollingslotti,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,rollingslotti.com,not contacted,
slota.casino,slota,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,slota.casino,not contacted,
spinempire.com,spinempire,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,spinempire.com,not contacted,
spinline.com,spinline,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,spinline.com,not contacted,
strangercasino.com,strangercasino,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,strangercasino.com,not contacted,
tuffpuff.com,tuffpuff,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,tuffpuff.com,not contacted,
vegazone.com,vegazone,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,vegazone.com,not contacted,
wildchance.com,wildchance,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,wildchance.com,not contacted,
wildtokyo.com,wildtokyo,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,wildtokyo.com,not contacted,
wildtokyocasino.com,wildtokyocasino,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,wildtokyocasino.com,not contacted,
winoly.com,winoly,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,winoly.com,not contacted,
winshark.com,winshark,0,GBL Solutions N.V.,OGL/2024/589/0556,Curacao,active,"April 14, 2026",no,winshark.com,not contacted,
shangrila.com,shangrila,1,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrila.com shangrila.live,not contacted,
sll12.com,sll,1,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,sll12.com sll365.com,not contacted,
bns55.com,bns,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,bns55.com,not contacted,
kml55.com,kml,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,kml55.com,not contacted,
kwc32.com,kwc,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,kwc32.com,not contacted,
mdi58.com,mdi,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,mdi58.com,not contacted,
mib31.com,mib,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,mib31.com,not contacted,
okm52.com,okm,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,okm52.com,not contacted,
poi56.com,poi,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,poi56.com,not contacted,
ps701.com,ps,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,ps701.com,not contacted,
qs251.com,qs,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,qs251.com,not contacted,
sfg51.com,sfg,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,sfg51.com,not contacted,
shangrilalive.com,shangrilalive,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrilalive.com,not contacted,
shangrilavip.com,shangrilavip,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,shangrilavip.com,not contacted,
sqa23.com,sqa,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,sqa23.com,not contacted,
tbrs21.com,tbrs,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,tbrs21.com,not contacted,
tkg75.com,tkg,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,tkg75.com,not contacted,
tpo57.com,tpo,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,tpo57.com,not contacted,
tpr55.com,tpr,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,tpr55.com,not contacted,
vols25.com,vols,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,vols25.com,not contacted,
vom81.com,vom,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,vom81.com,not contacted,
wk132.com,wk,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,wk132.com,not contacted,
wsh24.com,wsh,0,InterStorm (Curaçao) N.V,OGL/2024/106/0170,Curacao,revoked,,no,wsh24.com,not contacted,
justcasino.io,justcasino,85,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,justcasino.io justcasino.com justcasino1.io justcasino3.io justcasino2.io justcasino5.com justcasino7.com justcasino0.com,not contacted,
luckydreams.com,luckydreams,79,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckydreams.com luckydreams1.com luckydreams6.com luckydreams7.com luckydreams9.com luckydreams5.com luckydreams8.com luckydreams23.com,not contacted,
luckyones.com,luckyones,76,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckyones.com luckyones2.com luckyones8.com luckyones7.com luckyones1.com luckyones61.com luckyones72.com luckyones449.com,not contacted,
lukki.com,lukki,63,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,lukki.com lukki7.com lukki1.com lukki3.com lukki2.com lukki779.com lukki802.com lukki613.com,not contacted,
vegasnow.com,vegasnow,19,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,vegasnow.com vegasnow.net vegasnow2.com vegasnow7.com vegasnow1.com vegasnow454.com vegasnow781.com vegasnow779.com,not contacted,
letslucky.com,letslucky,15,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,letslucky.com letslucky7.com letslucky1.com letslucky4.com letslucky5.com letslucky23.com letslucky10.com letslucky17.com,not contacted,
luckydreamsch.com,luckydreamsch,1,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckydreamsch.com luckydreamsch777.com,not contacted,
playfashiontv.com,playfashiontv,1,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,playfashiontv.com playfashiontv12.com,not contacted,
emeraldslot.com,emeraldslot,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,emeraldslot.com,not contacted,
justcasinoau.com,justcasinoau,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,justcasinoau.com,not contacted,
justcasinoaus.com,justcasinoaus,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,justcasinoaus.com,not contacted,
letsluckyau.com,letsluckyau,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,letsluckyau.com,not contacted,
letsluckych.com,letsluckych,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,letsluckych.com,not contacted,
luckydreamsar.com,luckydreamsar,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckydreamsar.com,not contacted,
luckydreamsau.com,luckydreamsau,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckydreamsau.com,not contacted,
luckydreamskw.com,luckydreamskw,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckydreamskw.com,not contacted,
luckyonesar.com,luckyonesar,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckyonesar.com,not contacted,
luckyonesch.com,luckyonesch,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,luckyonesch.com,not contacted,
lukkich.com,lukkich,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,lukkich.com,not contacted,
mrz.com,mrz,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,mrz.com,not contacted,
vegasnowapp.com,vegasnowapp,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,vegasnowapp.com,not contacted,
vegasnowar.com,vegasnowar,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,vegasnowar.com,not contacted,
vegasnowch.com,vegasnowch,0,Just Entertainment B.V.,OGL/2024/164/0246,Curacao,assessment in progress,"December 24, 2025",no,vegasnowch.com,not contacted,
ajaxbet.com,ajaxbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,ajaxbet.com,not contacted,
arexbet.com,arexbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,arexbet.com,not contacted,
b1bahis.com,bbahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,b1bahis.com,not contacted,
betlist.com,betlist,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,betlist.com,not contacted,
betofbet.com,betofbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,betofbet.com,not contacted,
dellabet.com,dellabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,dellabet.com,not contacted,
etabet.com,etabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,etabet.com,not contacted,
galaxybetting.com,galaxybetting,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,galaxybetting.com,not contacted,
herabet.com,herabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,herabet.com,not contacted,
hermesbet.com,hermesbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,hermesbet.com,not contacted,
holeybet.com,holeybet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,holeybet.com,not contacted,
hullbet.com,hullbet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,hullbet.com,not contacted,
locabet.com,locabet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,locabet.com,not contacted,
meritpremium.com,meritpremium,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,meritpremium.com,not contacted,
neobet.com,neobet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,neobet.com,not contacted,
portobet.com,portobet,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,portobet.com,not contacted,
ramsbahis.com,ramsbahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,ramsbahis.com,not contacted,
slotella.com,slotella,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotella.com,not contacted,
slotrun.com,slotrun,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotrun.com,not contacted,
slotspor.com,slotspor,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,slotspor.com,not contacted,
suprabahis.com,suprabahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,suprabahis.com,not contacted,
turbobahis.com,turbobahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,turbobahis.com,not contacted,
viabahis.com,viabahis,0,Red Lane B.V.,OGL/2024/1065/0847,Curacao,active,"December 4, 2025",no,viabahis.com,not contacted,
vimobet.com,vimobet,1,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,vimobet.com vimobet65.com,not contacted,
africanobet.com,africanobet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,africanobet.com,not contacted,
alarabiyabet.com,alarabiyabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,alarabiyabet.com,not contacted,
alfwin.com,alfwin,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,alfwin.com,not contacted,
amarabet.com,amarabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,amarabet.com,not contacted,
arabbet24.com,arabbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,arabbet24.com,not contacted,
dinarwin.com,dinarwin,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,dinarwin.com,not contacted,
enebet.com,enebet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,enebet.com,not contacted,
icombet.com,icombet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,icombet.com,not contacted,
ingobet.com,ingobet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,ingobet.com,not contacted,
ivobet.com,ivobet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,ivobet.com,not contacted,
lavabet.com,lavabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,lavabet.com,not contacted,
menabet.com,menabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,menabet.com,not contacted,
newbet216.com,newbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,newbet216.com,not contacted,
nicewinz.com,nicewinz,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,nicewinz.com,not contacted,
owinbet.com,owinbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,owinbet.com,not contacted,
paramatik500.com,paramatik,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,paramatik500.com,not contacted,
vivabet24.com,vivabet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,vivabet24.com,not contacted,
wionbet.com,wionbet,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,wionbet.com,not contacted,
yallabom.com,yallabom,0,Glory Multimedia B.V.,OGL/2024/1600/0861,Curacao,assessment in progress,"January 14, 2026",no,yallabom.com,not contacted,
