domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on
grattiano.com,grattiano,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,grattiano.com,not contacted,
hashlucky.co,hashlucky,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,hashlucky.co,not contacted,
hexabet.io,hexabet,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,hexabet.io,not contacted,
ignibet.com,ignibet,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,ignibet.com,not contacted,
lollyspins.com,lollyspins,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,lollyspins.com,not contacted,
megarich.com,megarich,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,megarich.com,not contacted,
nitrobetcasino.com,nitrobetcasino,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,nitrobetcasino.com,not contacted,
pulsarspins.com,pulsarspins,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,pulsarspins.com,not contacted,
rioace.com,rioace,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,rioace.com,not contacted,
smokace.com,smokace,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,smokace.com,not contacted,
spellwin.com,spellwin,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spellwin.com,not contacted,
spindjinn.com,spindjinn,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spindjinn.com,not contacted,
spinmills.io,spinmills,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spinmills.io,not contacted,
spintado.com,spintado,0,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spintado.com,not contacted,
