domain,brand,operator,platform,confidence,evidence_host
luckypari.org,Luckypari,Lunex LLC,Slotegrator,inferred,v3.traincdn.com
mn-bizbet.io,BizBet Mongolia,Gameway Global LLC,Slotegrator,inferred,v2gc.traincdn.com
pariland.com,Pariland,3-102-952738 SRL,Slotegrator,inferred,v3.traincdn.com
21bit.com,21bit Casino NZ,Novatrix SRL,SoftSwiss,named,cdn.softswiss.net
betpir.com,Betpir,Mistletoe Ltd,SoftSwiss,named,cdn.softswiss.net
degencity.com,DegenCity Casino,3-102-939867 Limitada,SoftSwiss,named,cdn.softswiss.net
spinman.com,Spinman,Fortuna Digital Solutions FDS Limitada,SoftSwiss,named,cdn.softswiss.net
betibet.com,Betibet,Novatrix SRL,s7s platform,inferred,sentry-sportsbook.s7s.ai
betoranje.com,Betoranje,3-102-937541 SRL,s7s platform,inferred,sentry-sportsbook.s7s.ai
luckyelfcasino.com,Lucky Elf Casino,Metlait SRL,s7s platform,inferred,payments-lib.cdn.s7s.ai
spinsamurai.com,Spin Samurai Casino Canada,Novatrix SRL,s7s platform,inferred,payments-lib.cdn.s7s.ai
voodoo.casino,Voodoo,Novatrix SRL,s7s platform,inferred,payments-lib.cdn.s7s.ai
1winbets.pro,Temporary Auth,3-102-947042 SRL,,,
2k.bet,2KBet,2K Services Ltd,,,
7red.com,7Red.com Online,Red Ace Limited,,,
8win.com.my,8win,3-102-946565 SRL,,,
a1slot.net,A1slot,U2IS Limited,,,
acarbet.com,Acarbet Resmi Giriş Adresi,Eagle Nobility LTD,,,
acespinz.com,Hello There!,Flashpot Ltd,,,
admiralshark.best,Admiral Shark Casino,3-102-940828 SRL,,,
afrislots.net,AfriSlots,Juicecraft Limited,,,
aldex.win,Aldex Win,Aldex Win Ltd,,,
altaris.casino,403 Forbidden,Mirella Ltd,,,
americaloto.com,Jogue America Loto,Lucky AML Ltd,,,
ampm.casino,Ampm,3-102-950476 LIMITADA,,,
angelspin.com,Angelspin,Fruitopia Limited,,,
anubet.com,AnuBet,Hexiro Ltd,,,
appleicasino.com,AppleiCasino,AIC Enterprises LLC,,,
